415 South Main Street Suite 203,57401,4304
500 Chestnut Street Room 819,79602,1453
323 West Main Street ,24210,2605
23386 Front Street ,23301,
492 Main Street ,1720,3939
100 East 13th Street Suite 213,74820,6502
1028 Hayne Avenue SW ,29801,3730
2 South Main Street Suite 380,44308,1810
1030 East Tallmadge Avenue ,44310,3563
1101 New York Avenue Room 115,88310,6923
609 Main Street Room 105,81101,2557
235 Roosevelt Avenue Suite 114,31701,5132
11a Clinton Avenue Room 827,12207,2355
505 Marquette Avenue Northwest Suite 1605,87102,5803
3211 Coors Boulevard SW Suite B3,87121,5255
1412 Centre Court Suite 402,71301,3449
333 North Fairfax Street Suite 201,22314,2632
2110 McLean Street ,15001,2964
905 South Fillmore Street Suite 520,79101,3541
1421 South Bell Avenue Suite 108A,50010,7710
61 Church Street Room 309,12010,4424
510 L Street Suite 580,99501,1959
505 East Three Notch Street Room 322,63420,3129
1134 Meridian Plaza ,46016,1713
303 West Beltline Boulevard ,29625,1505
4115 Annandale Road Suite 103,22003,2500
44 Calvert Street Suite 349,21401,1930
1129 Noble Street Suite 104,36201,4674
420 West 3rd Street ,94509,1274
333 West College Avenue ,54911,5898
6001 West Ronald Reagan Memorial Highway Suite 200,76017,
222 Sunset Avenue Suite 101,27203,5658
1405 Greenup Avenue Suite 236,41101,7573
205 College Street Suite 100,28801,3017
28-11 Astoria Boulevard ,11102,1933
5805 Capistrono Avenue Suite C,93422,7218
3706 Atlanta Highway Suite 3B,30606,7202
6 East Madison Avenue ,37303,4297
702 East Corsicana Street ,75751,2629
"100 Peachtree Street, NW Suite 1920",30303,1906
8 North Main Street Suite 200,2703,2282
110 Genesee Street Suite 110,13021,3622
925 Laney Walker Boulevard Suite 300,30901,2959
300 East Eighth Street Room 763,78701,3224
5929 Balcones Drive Suite 305,78731,4286
3532 Bee Cave Road Suite 100,78746,5466
19200 West Country Club Drive 3rd Floor,33180,2403
2700 M Street Suite 225,93301,2370
4100 Empire Drive Suite 150,93309,409
301 Sovereign Court Suite 201,63011,4442
1010 Park Avenue Suite 105,21201,5600
6 State Street Suite 101,4401,6364
401 South Johnstone Avenue Suite 348,74003,6619
5555 Hilton Avenue Suite 100,70808,2597
PO Box 40 ,31515,40
916 Washington Avenue Suite 205,48708,5721
630 Avenue C Room 9,7002,3878
218-14 Northern Boulevard Suite 204,11361,3505
909 Decker Drive Suite 124,77520,4433
PO Box 1538 ,29901,1538
505 Orleans Street Suite 100,77701,3224
109 Main Street ,25801,4610
107 South St. Mary's Street ,78102,5619
15 East Churchville Road Suite 102B,21014,3837
3555 Benner Pike Suite 101,16823,8474
144 Lincoln Place Court Suite 4,62221,5884
119 North Commercial Street Suite 1350,98225,4452
400 East Grand Avenue Suite 402,53511,6229
1051 Northwest Bond Street Suite 400,97701,2958
701 West Broad Street Suite 200,18018,5229
1510 Scurry Street Suite B,79720,4441
1201 Grand Avenue Suite One,59102,4281
15 Henry Street Room 100-A,13901,2724
2 20th Street North Suite 1130,35203,4014
1900 International Park Drive Suite 107,35243,4217
200 East Rosser Avenue Room 328,58501,
13 Municipal Plaza Room 200-A,7003,3470
150 South Bloomingdale Road Room 200,60108,1494
202 North Prospect Road Suite 203,61704,7920
320 West 8th Street Suite 114,47404,3700
601 Federal Street Room 1005,24701,3033
2500 North Military Trail ,33409,6344
802 West Bannock Street Suite 600,83702,5843
"310 Government Center Drive, NE Unit 1",28422,9010
107 West Madison Street ,39041,3208
240 Highway 105 Extension Suite 200,28607,4291
700 Benton Road ,71111,3705
88 Black Falcon Avenue Suite 340,2210,2433
4770 Baseline Road Suite 220,80303,2668
1001 Center Street Suite 300,42101,2192
1045 North Main Street Suite 6,43402,1361
2424 Manatee Avenue West Suite 104,34205,4954
1800 East Lambert Road Suite 150,92821,4396
345 6th Street Suite 500,98337,1870
2000 South Market Street Suite 303,77833,5800
211 State Street 2nd Floor,6604,4808
Six North Main Street ,84302,2116
2301 Roosevelt Road ,60155,3854
155 West Elm Street Suite 200,2301,4326
3655 Johnson Avenue ,10463,1671
2800 Bruckner Boulevard Suite 301,10465,1972
1231 Lafayette Avenue 4th Floor,10474,5331
177 Dreiser Loop ,10475,2705
