415 South Main Street,Aberdeen,SD,57401,4304,SD,0,Kristi Noem,N000184
500 Chestnut Street,Abilene,TX,79602,1453,TX,19,Randy Neugebauer,N000182
323 West Main Street,Abingdon,VA,24210,2605,VA,9,H. Griffith,G000568
23386 Front Street,Accomac,VA,23301,,VA,2,E. Rigell,R000589
492 Main Street,Buffalo,NY,1720,3939,NY,26,Brian Higgins,H001038
100 East 13th Street,Ada,OK,74820,6502,OK,4,Tom Cole,C001053
1028 Hayne Avenue Southwest,Aiken,SC,29801,3730,SC,2,Joe Wilson,W000795
2 South Main Street,Akron,OH,44308,1810,OH,11,Marcia Fudge,F000455
1030 East Tallmadge Avenue,Akron,OH,44310,3563,OH,13,Tim Ryan,R000577
1101 North New York Avenue,Alamogordo,NM,88310,6923,NM,2,Stevan Pearce,P000588
609 Main Street,Alamosa,CO,81101,2557,CO,3,Scott Tipton,T000470
235 West Roosevelt Avenue,Albany,GA,31701,5132,GA,2,Sanford Bishop,B000490
11 Clinton Avenue,Albany,NY,12207,2355,NY,20,Paul Tonko,T000469
505 Marquette Avenue Northwest,Albuquerque,NM,87102,5803,NM,1,Michelle Lujan Grisham,L000580
3211 Coors Boulevard Southwest,Albuquerque,NM,87121,5255,NM,1,Michelle Lujan Grisham,L000580
1412 Centre Court,Alexandria,LA,71301,3449,LA,5,Vance McAllister,M001192
333 North Fairfax Street,Alexandria,VA,22314,2632,VA,8,James Moran,M000933
2110 McLean Street,Aliquippa,PA,15001,2964,PA,12,Keith Rothfus,R000598
905 South Fillmore Street,Amarillo,TX,79101,3541,TX,13,Mac Thornberry,T000238
1421 South Bell Avenue,Ames,IA,50010,7710,IA,4,Steve King,K000362
61 Church Street,Amsterdam,NY,12010,4424,NY,20,Paul Tonko,T000469
510 L Street,Anchorage,AK,99501,1959,AK,0,Don Young,Y000033
505 North 3 Notch Street,Troy,AL,63420,3129,AL,2,Martha Roby,R000591
1134 Meridian Street,Anderson,IN,46016,1713,IN,5,Susan Brooks,B001284
West Beltline Boulevard,Anderson County,SC,29625,1505,SC,3,Jeff Duncan,D000615
4115 Annandale Road,Annandale,VA,22003,2500,VA,11,Gerald Connolly,C001078
44 Calvert Street,Annapolis,MD,21401,1930,MD,3,John Sarbanes,S001168
1129 Noble Street,Anniston,AL,36201,4674,AL,3,Mike Rogers,R000575
420 West 3rd Street,Antioch,CA,94509,1274,CA,11,George Miller,M000725
333 West College Avenue,Appleton,WI,54911,5898,WI,8,Reid Ribble,R000587
Ronald Reagan Memorial Tollway,,IL,76017,,IL,16,Adam Kinzinger,K000378
222 Sunset Avenue,Asheboro,NC,27203,5658,NC,2,Renee Ellmers,E000291
1405 Greenup Avenue,Ashland,KY,41101,7573,KY,4,Thomas Massie,M001184
205 College Street,Asheville,NC,28801,3017,NC,10,Patrick McHenry,M001156
28-11 Astoria Boulevard,Queens,NY,11102,1933,NY,12,Carolyn Maloney,M000087
5805 Capistrano Avenue,Atascadero,CA,93422,7218,CA,24,Lois Capps,C001036
3706 Atlanta Highway,Bogart,GA,30606,7202,GA,10,Paul Broun,B001262
6 East Madison Avenue,Athens,TN,37303,4297,TN,3,Charles Fleischmann,F000459
702 East Corsicana Street,Athens,TX,75751,2629,TX,5,Jeb Hensarling,H001036
100 Peachtree Street Northwest,Atlanta,GA,30303,1906,GA,5,John Lewis,L000287
8 Main Street,Burlington,VT,2703,2282,VT,0,Peter Welch,W000800
110 Genesee Street,Auburn,NY,13021,3622,NY,24,Daniel Maffei,M001171
925 Laney-Walker Boulevard,Augusta,GA,30901,2959,GA,12,John Barrow,B001252
300 East 8th Street,Austin,TX,78701,3224,TX,21,Lamar Smith,S000583
5929 Balcones Drive,Austin,TX,78731,4286,TX,25,Roger Williams,W000816
3532 Bee Cave Road,West Lake Hills,TX,78746,5466,TX,25,Roger Williams,W000816
19200 West Country Club Drive,Aventura,FL,33180,2403,FL,23,Debbie Wasserman Schultz,W000797
2700 M Street,Bakersfield,CA,93301,2370,CA,23,Kevin McCarthy,M001165
4100 Empire Drive,Bakersfield,CA,93309,409,CA,23,Kevin McCarthy,M001165
301 Sovereign Court,Ballwin,MO,63011,4442,MO,2,Ann Wagner,W000812
1010 Park Avenue,Baltimore,MD,21201,5600,MD,7,Elijah Cummings,C000984
6 State Street,Hamden,CT,4401,6364,CT,3,Rosa DeLauro,D000216
401 South Johnstone Avenue,Bartlesville,OK,74003,6619,OK,1,Jim Bridenstine,B001283
