Address to use,City,State,Zip,Plus_Four,State,District,Rep. Name,Bio_ID
1011 George Wallace Boulevard,Tuscumbia,AL,35674,1726,AL,4,Robert Aderholt,A000055
110 Michigan Street Northeast,Grand Rapids,MI,49503,2313,MI,3,Justin Amash,A000367
400 South Virginia Street,Reno,NV,89501,2116,NV,2,Mark Amodei,A000369
PO Box 502 ,Clanton,AL,35046,0502,AL,6,Spencer Bachus,B000013
2106 West Ennis Avenue,Ennis,TX,75119,3624,TX,6,Joe Barton,B000213
255 East Temple Street,Los Angeles,CA,90012,3334,CA,34,Xavier Becerra,B000287
18 9th Street,Columbus,GA,31901,2778,GA,2,Sanford Bishop,B000490
729 Northeast Oregon Street,Portland,OR,97232,2184,OR,3,Earl Blumenauer,B000574
7969 Cincinnati Dayton Road,West Chester Township,OH,45069,6637,OH,8,John Boehner,B000589
1202 Sam Houston Avenue,Huntsville,TX,77340,4638,TX,8,Kevin Brady,B000755
613 Saint Johns Avenue,Palatka,FL,32177,4643,FL,5,Corrine Brown,B000911
63 North Broad Street,Philadelphia,PA,08096,4602,PA,1,Robert Brady,B001227
137 Hampton Road,Southampton,NY,11968,4923,NY,1,Timothy Bishop,B001242
198 3rd Avenue South,Franklin,TN,37064,2518,TN,7,Marsha Blackburn,B001243
Father Duenas Avenue,Hagåtña,,96910,5058,GU,0,Madeleine Bordallo,B001245
1660 Stemmons Freeway,Lewisville,TX,75067,0600,TX,26,Michael Burgess,B001248
324 East 2500 South,Ogden,UT,84401,2361,UT,1,Rob Bishop,B001250
216 Nash Street Northwest,Wilson,NC,27893,3802,NC,1,George Butterfield,B001251
4246 Washington Road,Evans,GA,30809,3087,GA,12,John Barrow,B001252
404 Route 66 Road,DeQuincy,LA,88401,3279,LA,3,Charles Boustany,B001255
110 2nd Street South,Waite Park,MN,56387,1313,MN,6,Michele Bachmann,B001256
35111 US Highway 19 North,Palm Harbor,FL,34684,1934,FL,12,Gus Bilirakis,B001257
501 Sycamore Street,Waterloo,IA,50703,4051,IA,1,Bruce Braley,B001259
235 North Orange Avenue,Sarasota,FL,34236,8522,FL,16,Vern Buchanan,B001260
PO Box 1017 ,Sandersville,GA,31082,1017,GA,10,Paul Broun,B001262
300 Centerville Road,Newville,PA,02886,0212,PA,11,Lou Barletta,B001269
4322 Wilshire Boulevard,Los Angeles,CA,90010,3794,CA,37,Karen Bass,B001270
121 East Front Street,Traverse City,MI,49684,2500,MI,1,Dan Benishek,B001271
62 East 2nd Street,Crossville,TN,38555,4564,TN,6,Diane Black,B001273
2101 Clinton Avenue West,Huntsville,AL,35805,3109,AL,5,Mo Brooks,B001274
901 Wabash Avenue,Terre Haute,IN,47807,3232,IN,8,Larry Bucshon,B001275
12725 SW Millikan Way,Beaverton,OR,97005,1678,OR,1,Suzanne Bonamici,B001278
1661 North Swan Road,Tucson,AZ,85712,4051,AZ,2,Ron Barber,B001279
560 Kirts Boulevard,Troy,MI,48084,4141,MI,11,Kerry Bentivolio,B001280
3000 Corporate Exchange Drive,Columbus,OH,43231,4054,OH,3,Joyce Beatty,B001281
1010 Monarch Street,Lexington,KY,40513,1866,KY,6,Garland Barr,B001282
5727 South Lewis Avenue,Tulsa,OK,74105,7146,OK,1,Jim Bridenstine,B001283
209 South Washington Street,Marion,IN,46952,3803,IN,5,Susan Brooks,B001284
2675 North Ventura Road,Port Hueneme,CA,93041,2045,CA,26,Julia Brownley,B001285
100 Northeast Monroe Street,Peoria,IL,61602,1047,IL,17,Cheri Bustos,B001286
2339 Gold Meadow Way,Gold River,CA,95670,6307,CA,7,Ami Bera,B001287
11 North Water Street,Mobile,AL,36602,5000,AL,1,Bradley Byrne,B001289
4160 Temescal Canyon Rd,Corona,CA,92883,4625,CA,42,Ken Calvert,C000059
135 Ashman Street,Midland,MI,48640,5103,MI,4,Dave Camp,C000071
441 Vine Street,Cincinnati,OH,45202,3003,OH,1,Steve Chabot,C000266
#1 Estate Cane,St. Croix,VI,00840,4425,VI,0,Donna Christensen,C000380
176 Brooks Boulevard,Santee,SC,29142,8644,SC,6,James Clyburn,C000537
1634 North Main Street,High Point,NC,27262,2644,NC,6,Howard Coble,C000556
33300 Warren Rd,Westland,MI,48185,9620,MI,13,John Conyers,C000714
605 Church Street,Nashville,TN,37219,2314,TN,5,Jim Cooper,C000754
8267 Main Street,Ellicott City,MD,21043,9903,MD,7,Elijah Cummings,C000984
485 Alisal Road,Solvang,CA,93463,3701,CA,24,Lois Capps,C001036
1234 Columbus Avenue,Boston,MA,02120,3400,MA,7,Michael Capuano,C001037
74-09 37th Avenue,Queens,NY,11372,6303,NY,14,Joseph Crowley,C001038
1061 Riverside Avenue,Jacksonville,FL,32204,4151,FL,4,Ander Crenshaw,C001045
4201 Dominion Boulevard,Glen Allen,VA,23060,6149,VA,7,Eric Cantor,C001046
300 Foxcroft Avenue,Martinsburg,WV,25401,5341,WV,2,Shelley Capito,C001047
1550 Foxlake Drive,Houston,TX,77084,6043,TX,7,John Culberson,C001048
8021 West Florissant Avenue,Jennings,MO,63136,1449,MO,1,Wm. Clay,C001049
