District,Title,AddressLine2,AddressLine1,AddressLine3,AddressLine4,Telephone,Fax,LastName,
SD01,US Representative,US House of Representatives,The Honorable Kristi L. Noem,415 South Main Street Suite 203,"Aberdeen, SD 57401-4304",(202) 225-2801,,Noem,57401-4304
TX19,US Representative,US House of Representatives,The Honorable Randy Neugebauer,500 Chestnut Street Room 819,"Abilene, TX 79602-1453",(325) 675-9779,(325) 675-5038,Neugebauer,79602-1453
VA09,US Representative,US House of Representatives,The Honorable Morgan Griffith,323 West Main Street ,"Abingdon, VA 24210-2605",(276) 525-1405,(276) 525-1444,Griffith,24210-2605
VA02,US Representative,US House of Representatives,The Honorable Scott Rigell,23386 Front Street ,"Accomac, VA 23301",(757) 789-5172,(757) 789-5175,Rigell,23301
MA05,US Representative,US House of Representatives,The Honorable Niki Tsongas,492 Main Street ,"Acton, MA 01720-3939",(978) 263-1951,,Tsongas,01720-3939
OK04,US Representative,US House of Representatives,The Honorable Tom Cole,100 East 13th Street Suite 213,"Ada, OK 74820-6502",(580) 436-5375,(580) 436-5451,Cole,74820-6502
SC03,US Representative,US House of Representatives,The Honorable Jeff Duncan,1028 Hayne Avenue SW ,"Aiken, SC 29801-3730",(803) 649-5571,(803) 648-9038,Duncan,29801-3730
OH13,US Representative,US House of Representatives,The Honorable Betty Sutton,2 South Main Street Suite 380,"Akron, OH 44308-1810",(330) 865-8450,(330) 865-8470,Sutton,44308-1810
OH17,US Representative,US House of Representatives,The Honorable Tim Ryan,1030 East Tallmadge Avenue ,"Akron, OH 44310-3563",(330) 630-7311,(330) 630-7314,Ryan,44310-3563
NM02,US Representative,US House of Representatives,The Honorable Steve E. Pearce,1101 New York Avenue Room 115,"Alamogordo, NM 88310-6923",(855) 473-2723,,Pearce,88310-6923
CO03,US Representative,US House of Representatives,The Honorable Scott R. Tipton,609 Main Street Room 105,"Alamosa, CO 81101-2557",(719) 587-5105,(719) 587-5137,Tipton,81101-2557
GA02,US Representative,US House of Representatives,The Honorable Sanford D. Bishop,235 Roosevelt Avenue Suite 114,"Albany, GA 31701-5132",(229) 439-8067,(229) 436-2099,Bishop,31701-5132
NY21,US Representative,US House of Representatives,The Honorable Paul D. Tonko,11a Clinton Avenue Room 827,"Albany, NY 12207-2355",(518) 465-0700,(518) 427-5107,Tonko,12207-2355
NM01,US Representative,US House of Representatives,The Honorable Martin Heinrich,505 Marquette Avenue Northwest Suite 1605,"Albuquerque, NM 87102-5803",(505) 346-6781,(505) 346-6723,Heinrich,87102-5803
NM01,US Representative,US House of Representatives,The Honorable Martin Heinrich,3211 Coors Boulevard SW Suite B3,"Albuquerque, NM 87121-5255",(505) 877-4069,(505) 877-4911,Heinrich,87121-5255
LA05,US Representative,US House of Representatives,The Honorable Rodney Alexander,1412 Centre Court Suite 402,"Alexandria, LA 71301-3449",(318) 445-0818,(318) 445-3776,Alexander,71301-3449
VA08,US Representative,US House of Representatives,The Honorable Jim P. Moran,333 North Fairfax Street Suite 201,"Alexandria, VA 22314-2632",(703) 971-4700,(703) 922-9436,Moran,22314-2632
PA04,US Representative,US House of Representatives,The Honorable Jason Altmire,2110 McLean Street ,"Aliquippa, PA 15001-2964",(724) 378-0928,(724) 378-6171,Altmire,15001-2964
TX13,US Representative,US House of Representatives,The Honorable Mac Thornberry,905 South Fillmore Street Suite 520,"Amarillo, TX 79101-3541",(806) 371-8844,(806) 371-7044,Thornberry,79101-3541
