Address to use,City,State,Zip,Plus_Four,State,District,Rep. Name,master_Bioguide_id,master_bioguide_id,master_firstname,master_lastname,master_state,master_district,,
1011 George Wallace Boulevard,Tuscumbia,AL,35674,1726,AL,4,Robert Aderholt,A000055,A000055,Robert,Aderholt,AL,4,,
110 Michigan Street Northeast,Grand Rapids,MI,49503,2313,MI,3,Justin Amash,A000367,A000367,Justin,Amash,MI,3,,
400 South Virginia Street,Reno,NV,89501,2116,NV,2,Mark Amodei,A000369,A000369,Mark,Amodei,NV,2,,
PO Box 502 ,Clanton,AL,35046,0502,AL,6,Spencer Bachus,B000013,B000013,Spencer,Bachus,AL,6,,
2106 West Ennis Avenue,Ennis,TX,75119,3624,TX,6,Joe Barton,B000213,B000213,Joe,Barton,TX,6,,
255 East Temple Street,Los Angeles,CA,90012,3334,CA,34,Xavier Becerra,B000287,B000287,Xavier,Becerra,CA,34,,
18 9th Street,Columbus,GA,31901,2778,GA,2,Sanford Bishop,B000490,B000490,Sanford,Bishop,GA,2,,
729 Northeast Oregon Street,Portland,OR,97232,2184,OR,3,Earl Blumenauer,B000574,B000574,Earl,Blumenauer,OR,3,,
7969 Cincinnati Dayton Road,West Chester Township,OH,45069,6637,OH,8,John Boehner,B000589,B000589,John,Boehner,OH,8,,
1202 Sam Houston Avenue,Huntsville,TX,77340,4638,TX,8,Kevin Brady,B000755,B000755,Kevin,Brady,TX,8,,
613 Saint Johns Avenue,Palatka,FL,32177,4643,FL,5,Corrine Brown,B000911,B000911,Corrine,Brown,FL,5,,
63 North Broad Street,Philadelphia,PA,08096,4602,PA,1,Robert Brady,B001227,B001227,Robert,Brady,PA,1,,
137 Hampton Road,Southampton,NY,11968,4923,NY,1,Timothy Bishop,B001242,B001242,Timothy,Bishop,NY,1,,
198 3rd Avenue South,Franklin,TN,37064,2518,TN,7,Marsha Blackburn,B001243,B001243,Marsha,Blackburn,TN,7,,
Father Duenas Avenue,Hagåtña,,96910,5058,GU,0,Madeleine Bordallo,B001245,B001245,Madeleine,Bordallo,GU,0,,
1660 Stemmons Freeway,Lewisville,TX,75067,0600,TX,26,Michael Burgess,B001248,B001248,Michael,Burgess,TX,26,,
324 East 2500 South,Ogden,UT,84401,2361,UT,1,Rob Bishop,B001250,B001250,Rob,Bishop,UT,1,,
216 Nash Street Northwest,Wilson,NC,27893,3802,NC,1,George Butterfield,B001251,B001251,George,Butterfield,NC,1,,
4246 Washington Road,Evans,GA,30809,3087,GA,12,John Barrow,B001252,B001252,John,Barrow,GA,12,,
404 Route 66 Road,DeQuincy,LA,88401,3279,LA,3,Charles Boustany,B001255,B001255,Charles,Boustany,LA,3,,
110 2nd Street South,Waite Park,MN,56387,1313,MN,6,Michele Bachmann,B001256,B001256,Michele,Bachmann,MN,6,,
35111 US Highway 19 North,Palm Harbor,FL,34684,1934,FL,12,Gus Bilirakis,B001257,B001257,Gus,Bilirakis,FL,12,,
501 Sycamore Street,Waterloo,IA,50703,4051,IA,1,Bruce Braley,B001259,B001259,Bruce,Braley,IA,1,,
235 North Orange Avenue,Sarasota,FL,34236,8522,FL,16,Vern Buchanan,B001260,B001260,Vern,Buchanan,FL,16,,
PO Box 1017 ,Sandersville,GA,31082,,GA,10,Paul Broun,B001262,B001262,Paul,Broun,GA,10,,
300 Centerville Road,Newville,PA,02886,0212,PA,11,Lou Barletta,B001269,B001269,Lou,Barletta,PA,11,,
4322 Wilshire Boulevard,Los Angeles,CA,90010,3794,CA,37,Karen Bass,B001270,B001270,Karen,Bass,CA,37,,
121 East Front Street,Traverse City,MI,49684,2500,MI,1,Dan Benishek,B001271,B001271,Dan,Benishek,MI,1,,
62 East 2nd Street,Crossville,TN,38555,4564,TN,6,Diane Black,B001273,B001273,Diane,Black,TN,6,,
2101 Clinton Avenue West,Huntsville,AL,35805,3109,AL,5,Mo Brooks,B001274,B001274,Mo,Brooks,AL,5,,
901 Wabash Avenue,Terre Haute,IN,47807,3232,IN,8,Larry Bucshon,B001275,B001275,Larry,Bucshon,IN,8,,
12725 SW Millikan Way,Beaverton,OR,97005,1678,OR,1,Suzanne Bonamici,B001278,B001278,Suzanne,Bonamici,OR,1,,
1661 North Swan Road,Tucson,AZ,85712,4051,AZ,2,Ron Barber,B001279,B001279,Ron,Barber,AZ,2,,
560 Kirts Boulevard,Troy,MI,48084,4141,MI,11,Kerry Bentivolio,B001280,B001280,Kerry,Bentivolio,MI,11,,
3000 Corporate Exchange Drive,Columbus,OH,43231,4054,OH,3,Joyce Beatty,B001281,B001281,Joyce,Beatty,OH,3,,
1010 Monarch Street,Lexington,KY,40513,1866,KY,6,Garland Barr,B001282,B001282,Garland,Barr,KY,6,,
5727 South Lewis Avenue,Tulsa,OK,74105,7146,OK,1,Jim Bridenstine,B001283,B001283,Jim,Bridenstine,OK,1,,
209 South Washington Street,Marion,IN,46952,3803,IN,5,Susan Brooks,B001284,B001284,Susan,Brooks,IN,5,,
2675 North Ventura Road,Port Hueneme,CA,93041,2045,CA,26,Julia Brownley,B001285,B001285,Julia,Brownley,CA,26,,
100 Northeast Monroe Street,Peoria,IL,61602,1047,IL,17,Cheri Bustos,B001286,B001286,Cheri,Bustos,IL,17,,
2339 Gold Meadow Way,Gold River,CA,95670,6307,CA,7,Ami Bera,B001287,B001287,Ami,Bera,CA,7,,
11 North Water Street,Mobile,AL,36602,5000,AL,1,Bradley Byrne,B001289,B001289,Bradley,Byrne,AL,1,,
4160 Temescal Canyon Rd,Corona,CA,92883,4625,CA,42,Ken Calvert,C000059,C000059,Ken,Calvert,CA,42,,
135 Ashman Street,Midland,MI,48640,5103,MI,4,Dave Camp,C000071,C000071,Dave,Camp,MI,4,,
